,Team,Season,Duration,Goals,Difference in Goals and xG_x,Goal differential,xG,Shots,Shots on target accuracy_x,Shots on target,Passes,Passes accurate,"Possession, %",Losses,Losses Low,Shots from outside penalty area on target percentage_x,Positional attacks with shots percentage_x,Shots from outside penalty area on target accuracy_x,Counterattacks with shots percentage_x,Corners with shots percentage_x,Losses Medium,Losses High,Recoveries,Recoveries Low,Penalty conversion percentage_x,Recoveries Medium,Recoveries High,Crossing accuracy_x,Duels,Duels won,Offensive duels accuracy_x,Shots from outside penalty area,Shots from outside penalty area on target,Positional attacks,Positional attacks with shots,Counterattacks,Shots against on target accuracy_x,Counterattacks with shots,Set pieces,Defensive duels accuracy_x,Set pieces with shots,Corners,Aerial duels accuracy_x,Corners with shots,Free kicks,Sliding tackle percentage_x,Free kicks with shots,Penalties,Penalties converted,Crosses,Crosses accurate,Deep completed crosses,Deep completed passes,Penalty area entries (runs,Passes accuracy_x,Penalty area entries (runs crosses),Touches in penalty area,Offensive duels,Offensive duels won,Offsides,Conceded goals,Shots against,Shots against on target,Long passes percentage_x,Progressive passes percentage_x,Passes to final third percentage_x,Lateral passes percentage_x,Back passes percentage_x,Forward passes percentage_x,Defensive duels,Defensive duels won,Aerial duels,Duels accuracy_x,Aerial duels won,Sliding tackles,Sliding tackles successful,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes accuracy_x,Forward passes,Forward passes accurate,Back passes accuracy_x,Back passes,Back passes accurate,Lateral passes accuracy_x,Lateral passes,Lateral passes accurate,Long passes accuracy_x,Long passes,Long passes accurate,Passes to final third accuracy_x,Passes to final third,Passes to final third accurate,Progressive passes accuracy_x,Progressive passes,Progressive passes accurate,Throw ins,Throw ins accurate,Throw in percentage_x,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Shots on target accuracy_y,Shots from outside penalty area on target percentage_y,Positional attacks with shots percentage_y,Shots from outside penalty area on target accuracy_y,Counterattacks with shots percentage_y,Corners with shots percentage_y,Penalty conversion percentage_y,Crossing accuracy_y,Offensive duels accuracy_y,Shots against on target accuracy_y,Defensive duels accuracy_y,Aerial duels accuracy_y,Sliding tackle percentage_y,Passes accuracy_y,Long passes percentage_y,Progressive passes percentage_y,Passes to final third percentage_y,Lateral passes percentage_y,Back passes percentage_y,Forward passes percentage_y,Duels accuracy_y,Forward passes accuracy_y,Back passes accuracy_y,Lateral passes accuracy_y,Long passes accuracy_y,Passes to final third accuracy_y,Progressive passes accuracy_y,Throw in percentage_y,Difference in Goals and xG_y
0,Air Force Falcons,2023,103.0,3.0,1.68,2.0,1.32,18.0,0.3333333333333333,6.0,375.0,291.0,52.4,104.0,11.0,0.3333333333333333,0.37142857142857144,0.2,,0.6,44.0,49.0,83.0,37.0,,34.0,12.0,0.4666666666666667,269.0,130.0,0.3684210526315789,10.0,2.0,35.0,13.0,0.0,0.6875,0.0,25.0,0.6666666666666666,4.0,5.0,0.2916666666666667,3.0,4.0,1.0,1.0,0.0,0.0,15.0,7.0,5.0,6.0,28.0,0.776,4.0,18.0,114.0,42.0,3.0,1.0,16.0,11.0,0.05154639175257732,0.1718213058419244,0.10309278350515463,0.4261168384879725,0.16151202749140894,0.3333333333333333,99.0,66.0,24.0,0.483271375464684,7.0,1.0,1.0,34.0,17.0,8.0,2.0,0.0,0.6736111111111112,144.0,97.0,0.9591836734693877,49.0,47.0,0.8322147651006712,149.0,124.0,0.4838709677419355,31.0,15.0,0.6122448979591837,49.0,30.0,0.704225352112676,71.0,50.0,21.0,19.0,0.9047619047619048,13.35,3.07,8.27,21.3,20.42,7.54,0.3333333333333333,0.3333333333333333,0.37142857142857144,0.2,,0.6,,0.4666666666666667,0.3684210526315789,0.6875,0.6666666666666666,0.2916666666666667,1.0,0.776,0.05154639175257732,0.1718213058419244,0.10309278350515463,0.4261168384879725,0.16151202749140894,0.3333333333333333,0.483271375464684,0.6736111111111112,0.9591836734693877,0.8322147651006712,0.4838709677419355,0.6122448979591837,0.704225352112676,0.9047619047619048,1.68
1,Air Force Falcons,2024,95.0,3.0,0.9500000000000002,3.0,2.05,11.0,0.45454545454545453,5.0,419.0,319.0,59.8,133.0,25.0,0.0,0.21621621621621623,0.0,,0.5,56.0,52.0,108.0,55.0,,42.0,11.0,0.2222222222222222,246.0,127.0,0.3804347826086957,4.0,0.0,37.0,8.0,0.0,0.21428571428571427,0.0,27.0,0.6862745098039216,2.0,2.0,0.3684210526315789,1.0,5.0,,0.0,0.0,0.0,9.0,2.0,3.0,7.0,19.0,0.7613365155131265,6.0,12.0,92.0,35.0,3.0,0.0,14.0,3.0,0.06583072100313479,0.15987460815047022,0.08150470219435736,0.27586206896551724,0.2006269592476489,0.3510971786833856,102.0,70.0,19.0,0.516260162601626,7.0,0.0,0.0,60.0,21.0,10.0,0.0,0.0,0.6666666666666666,168.0,112.0,0.9552238805970149,67.0,64.0,0.7719298245614035,114.0,88.0,0.3684210526315789,57.0,21.0,0.52,50.0,26.0,0.5862068965517241,87.0,51.0,28.0,23.0,0.8214285714285714,13.58,3.06,13.6,17.85,19.12,5.74,0.45454545454545453,0.0,0.21621621621621623,0.0,,0.5,,0.2222222222222222,0.3804347826086957,0.21428571428571427,0.6862745098039216,0.3684210526315789,,0.7613365155131265,0.06583072100313479,0.15987460815047022,0.08150470219435736,0.27586206896551724,0.2006269592476489,0.3510971786833856,0.516260162601626,0.6666666666666666,0.9552238805970149,0.7719298245614035,0.3684210526315789,0.52,0.5862068965517241,0.8214285714285714,0.9500000000000002
2,Arizona Wildcats,2024,114.0,3.0,2.43,3.0,0.57,8.0,0.5,4.0,399.0,309.0,51.04,134.0,32.0,0.25,0.25,0.3333333333333333,,0.0,52.0,50.0,96.0,53.0,,35.0,8.0,0.5,254.0,133.0,0.39080459770114945,3.0,1.0,24.0,6.0,0.0,0.6666666666666666,0.0,24.0,0.759493670886076,2.0,1.0,0.4375,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,10.0,5.0,5.0,7.0,16.0,0.7744360902255639,2.0,16.0,87.0,34.0,0.0,0.0,3.0,2.0,0.08737864077669903,0.13268608414239483,0.08090614886731391,0.2977346278317152,0.1941747572815534,0.34627831715210355,79.0,60.0,32.0,0.5236220472440944,14.0,6.0,2.0,61.0,38.0,14.0,2.0,0.0,0.722972972972973,148.0,107.0,0.8823529411764706,68.0,60.0,0.8440366972477065,109.0,92.0,0.5094339622641509,53.0,27.0,0.625,40.0,25.0,0.5324675324675324,77.0,41.0,29.0,25.0,0.8620689655172413,15.42,2.87,13.28,20.04,17.25,8.35,0.5,0.25,0.25,0.3333333333333333,,0.0,,0.5,0.39080459770114945,0.6666666666666666,0.759493670886076,0.4375,0.3333333333333333,0.7744360902255639,0.08737864077669903,0.13268608414239483,0.08090614886731391,0.2977346278317152,0.1941747572815534,0.34627831715210355,0.5236220472440944,0.722972972972973,0.8823529411764706,0.8440366972477065,0.5094339622641509,0.625,0.5324675324675324,0.8620689655172413,2.43
3,Azusa Pacific Cougars,2021,96.0,1.0,-1.6800000000000002,1.0,2.68,16.0,0.5,8.0,521.0,430.0,62.3,103.0,15.0,0.375,0.3103448275862069,0.3333333333333333,0.5,0.3,36.0,52.0,79.0,28.0,1.0,45.0,6.0,0.4444444444444444,205.0,92.0,0.35443037974683544,9.0,3.0,29.0,9.0,2.0,0.5,1.0,29.0,0.6388888888888888,5.0,10.0,0.2631578947368421,3.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,4.0,8.0,25.0,0.8253358925143954,4.0,15.0,79.0,28.0,0.0,0.0,4.0,2.0,0.009302325581395349,0.1325581395348837,0.10697674418604651,0.4255813953488372,0.14651162790697675,0.2837209302325581,72.0,46.0,19.0,0.44878048780487806,5.0,3.0,0.0,40.0,10.0,13.0,0.0,0.0,0.6630434782608695,184.0,122.0,1.0,63.0,63.0,0.9336734693877551,196.0,183.0,0.4444444444444444,9.0,4.0,0.6301369863013698,73.0,46.0,0.7037037037037037,81.0,57.0,23.0,21.0,0.9130434782608695,15.34,3.86,1.73,19.89,17.08,5.03,0.5,0.375,0.3103448275862069,0.3333333333333333,0.5,0.3,1.0,0.4444444444444444,0.35443037974683544,0.5,0.6388888888888888,0.2631578947368421,0.0,0.8253358925143954,0.009302325581395349,0.1325581395348837,0.10697674418604651,0.4255813953488372,0.14651162790697675,0.2837209302325581,0.44878048780487806,0.6630434782608695,1.0,0.9336734693877551,0.4444444444444444,0.6301369863013698,0.7037037037037037,0.9130434782608695,-1.6800000000000002
4,BYU Cougars,2022,94.5,3.0,-1.3549999999999998,3.0,4.3549999999999995,34.5,0.26610017889087656,8.5,479.5,392.0,64.105,119.5,9.5,0.22916666666666666,0.3462589323245061,0.23809523809523808,0.75,0.39285714285714285,31.0,79.0,122.5,28.0,1.0,61.0,33.5,0.32380457380457384,238.5,129.5,0.47763939081053175,14.0,2.0,69.5,24.5,1.5,0.6,1.0,30.0,0.7222222222222222,7.5,12.0,0.5909090909090908,4.5,3.0,1.0,1.0,0.5,0.5,31.5,10.5,11.0,18.5,51.5,0.8176884780754434,14.0,47.5,126.5,61.0,1.5,0.0,3.0,1.0,0.03431015179524566,0.18988075090478299,0.13142786471216183,0.4195654437993074,0.10701174265107924,0.3557359335537793,56.0,40.5,15.0,0.5444444444444445,9.5,0.5,0.5,51.5,11.0,9.5,0.5,0.0,0.8183463155717929,170.5,139.5,0.8893405600722675,47.5,42.0,0.8596584699453551,191.5,164.5,0.6666666666666667,20.0,13.5,0.8261427837699025,62.5,51.5,0.852156862745098,88.5,74.5,24.0,21.5,0.9021164021164021,14.440000000000001,3.25,4.154999999999999,17.62,18.28,4.635,0.2463768115942029,0.23529411764705882,0.35251798561151076,0.14285714285714285,0.6666666666666666,0.375,1.0,0.3333333333333333,0.48221343873517786,0.3333333333333333,0.7232142857142857,0.6333333333333333,1.0,0.8175182481751825,0.03443877551020408,0.19005102040816327,0.13137755102040816,0.41964285714285715,0.10714285714285714,0.35586734693877553,0.5429769392033543,0.8181818181818182,0.8842105263157894,0.8590078328981723,0.675,0.824,0.8418079096045198,0.8958333333333334,-2.709999999999999
5,BYU Cougars,2023,103.0,3.0,0.85,3.0,2.15,21.0,0.49318181818181817,10.5,418.5,331.5,59.33,104.5,14.5,0.4642857142857143,0.32456140350877194,0.75,1.0,0.2708333333333333,38.5,51.5,85.0,35.0,,37.0,13.0,0.23333333333333334,188.0,97.0,0.5267194458189015,6.0,4.5,41.5,13.5,0.5,0.34523809523809523,0.5,28.5,0.5826659038901603,6.5,7.0,0.513157894736842,2.0,2.0,1.0,1.0,0.0,0.0,19.0,4.5,5.5,12.5,36.0,0.7898969250259127,11.5,32.5,90.0,47.0,2.5,0.0,10.0,3.5,0.04690444518346082,0.18455548165391863,0.11121272586187785,0.45984369803791153,0.11427502494180247,0.31235450615231125,61.0,34.5,15.5,0.5250841946347695,8.0,1.5,1.5,33.0,7.0,8.0,0.5,0.0,0.6896929824561404,148.0,102.0,0.9142857142857144,41.0,37.5,0.8679952052741984,177.0,154.5,0.509453781512605,31.0,15.5,0.6824229691876751,53.5,36.5,0.7169158361018826,85.0,61.0,24.5,23.0,0.9383333333333332,13.89,3.515,7.539999999999999,17.125,19.805,7.32,0.5,0.42857142857142855,0.3253012048192771,0.75,1.0,0.2857142857142857,,0.23684210526315788,0.5222222222222223,0.35,0.5655737704918032,0.5161290322580645,1.0,0.7921146953405018,0.04675716440422323,0.18401206636500755,0.11010558069381599,0.4660633484162896,0.11312217194570136,0.3076923076923077,0.5159574468085106,0.6891891891891891,0.9146341463414634,0.8728813559322034,0.5,0.6822429906542056,0.7176470588235294,0.9387755102040817,1.7000000000000002
6,BYU Cougars,2024,96.0,1.0,0.55,0.0,0.45,6.0,0.3333333333333333,2.0,338.0,256.0,51.54,95.0,17.0,0.0,0.1282051282051282,0.0,,0.0,31.0,47.0,89.0,45.0,,27.0,17.0,0.43478260869565216,385.0,146.0,0.19230769230769232,2.0,0.0,39.0,5.0,0.0,0.4,0.0,22.0,0.5555555555555556,1.0,2.0,0.5,0.0,2.0,0.6666666666666666,0.0,0.0,0.0,23.0,10.0,10.0,6.0,28.0,0.757396449704142,4.0,18.0,156.0,30.0,3.0,1.0,15.0,6.0,0.08203125,0.2265625,0.14453125,0.4140625,0.13671875,0.34765625,153.0,85.0,32.0,0.37922077922077924,16.0,6.0,4.0,61.0,9.0,13.0,2.0,0.0,0.644927536231884,138.0,89.0,0.9210526315789473,38.0,35.0,0.8548387096774194,124.0,106.0,0.525,40.0,21.0,0.6166666666666667,60.0,37.0,0.6590909090909091,88.0,58.0,26.0,26.0,1.0,12.48,3.05,11.83,18.68,21.92,5.14,0.3333333333333333,0.0,0.1282051282051282,0.0,,0.0,,0.43478260869565216,0.19230769230769232,0.4,0.5555555555555556,0.5,0.6666666666666666,0.757396449704142,0.08203125,0.2265625,0.14453125,0.4140625,0.13671875,0.34765625,0.37922077922077924,0.644927536231884,0.9210526315789473,0.8548387096774194,0.525,0.6166666666666667,0.6590909090909091,1.0,0.55
7,Baylor Bears,2024,94.0,1.0,-0.8799999999999999,1.0,1.88,9.0,0.2222222222222222,2.0,358.0,251.0,59.6,127.0,26.0,0.5,0.08695652173913043,0.5,,0.375,38.0,63.0,94.0,41.0,,38.0,15.0,0.21739130434782608,241.0,123.0,0.3238095238095238,2.0,1.0,46.0,4.0,0.0,0.5,0.0,25.0,0.7564102564102564,5.0,8.0,0.5581395348837209,3.0,2.0,,2.0,0.0,0.0,23.0,5.0,5.0,6.0,34.0,0.7011173184357542,9.0,25.0,105.0,34.0,4.0,0.0,12.0,6.0,0.10358565737051793,0.16733067729083664,0.1394422310756972,0.2948207171314741,0.2151394422310757,0.35856573705179284,78.0,59.0,43.0,0.5103734439834025,24.0,0.0,0.0,36.0,13.0,5.0,0.0,0.0,0.5921052631578947,152.0,90.0,0.9152542372881356,59.0,54.0,0.7708333333333334,96.0,74.0,0.5,52.0,26.0,0.5833333333333334,60.0,35.0,0.5833333333333334,72.0,42.0,34.0,31.0,0.9117647058823529,12.63,2.82,14.53,12.68,19.4,4.97,0.2222222222222222,0.5,0.08695652173913043,0.5,,0.375,,0.21739130434782608,0.3238095238095238,0.5,0.7564102564102564,0.5581395348837209,,0.7011173184357542,0.10358565737051793,0.16733067729083664,0.1394422310756972,0.2948207171314741,0.2151394422310757,0.35856573705179284,0.5103734439834025,0.5921052631578947,0.9152542372881356,0.7708333333333334,0.5,0.5833333333333334,0.5833333333333334,0.9117647058823529,-0.8799999999999999
8,Berkeley Golden Bears,2021,90.0,2.5,-0.09999999999999987,2.5,2.5999999999999996,23.5,0.5072727272727273,12.0,419.5,320.5,59.95,118.0,13.0,0.2785714285714286,0.4220272904483431,0.29166666666666663,0.0,0.5,45.5,59.5,98.5,34.5,1.0,48.5,15.5,0.3484848484848485,254.0,135.0,0.44684283969998256,11.5,3.5,46.0,19.0,0.5,0.5,0.0,16.5,0.7027027027027026,4.0,4.0,0.4859663191659984,2.0,1.0,0.5,0.5,0.5,0.5,14.0,5.0,4.5,8.0,27.5,0.7593867852034,5.0,21.0,107.5,48.5,2.5,0.0,4.0,2.0,0.05866268570959534,0.17863005827792827,0.1148783140441599,0.36242612656981044,0.1726791430682098,0.3303065747352869,74.0,52.0,36.0,0.5300378576304847,18.0,4.0,2.0,44.5,13.5,8.0,1.0,0.0,0.6278913092297328,164.5,103.5,0.8878656554712893,61.5,55.0,0.8630460104834012,135.5,117.0,0.3987080103359173,44.0,17.5,0.5559113300492611,64.0,35.5,0.6525091112980095,84.5,55.0,30.0,25.0,0.8316498316498316,14.46,3.24,10.86,20.4,18.5,4.955,0.5106382978723404,0.2916666666666667,0.41304347826086957,0.30434782608695654,0.0,0.5,1.0,0.35714285714285715,0.4511627906976744,0.5,0.7027027027027027,0.5,0.5,0.7640047675804529,0.054602184087363496,0.17160686427457097,0.11076443057722309,0.36505460218408736,0.17160686427457097,0.32293291731669266,0.531496062992126,0.6291793313069909,0.8943089430894309,0.8634686346863468,0.3977272727272727,0.5546875,0.650887573964497,0.8333333333333334,-0.1999999999999993
9,Berkeley Golden Bears,2022,95.66666666666667,0.6666666666666666,-0.4333333333333333,0.0,1.0999999999999999,13.0,0.3430555555555556,5.0,395.6666666666667,296.0,56.61666666666667,127.0,15.333333333333334,0.42857142857142855,0.2357943469785575,0.2916666666666667,0.0,0.3055555555555555,43.0,68.66666666666667,97.0,33.333333333333336,1.0,47.0,16.666666666666668,0.2611111111111111,220.33333333333334,114.0,0.42948372926015455,8.333333333333334,3.0,38.333333333333336,9.0,1.6666666666666667,0.39999999999999997,0.0,23.333333333333332,0.6899105204704932,3.6666666666666665,6.0,0.3878713878713878,1.6666666666666667,5.0,0.3194444444444444,0.6666666666666666,0.3333333333333333,0.3333333333333333,14.333333333333334,3.6666666666666665,3.0,5.666666666666667,22.666666666666668,0.7472145264857585,4.666666666666667,18.666666666666668,86.0,37.0,1.3333333333333333,0.6666666666666666,6.333333333333333,2.3333333333333335,0.07189389201584323,0.18095014741356205,0.10408663152565593,0.34788483873849724,0.17027755442389592,0.3486665773251139,70.66666666666667,49.0,25.333333333333332,0.5224306692539366,9.666666666666666,5.0,1.6666666666666667,52.333333333333336,14.666666666666666,8.333333333333334,0.3333333333333333,0.3333333333333333,0.6483906770255272,159.0,103.0,0.9377662112340056,53.666666666666664,50.333333333333336,0.8262033502968618,125.66666666666667,103.66666666666667,0.47828282828282825,44.666666666666664,21.333333333333332,0.5509636557626387,56.333333333333336,30.666666666666668,0.6833902707190379,78.33333333333333,53.333333333333336,30.333333333333332,23.333333333333332,0.7887408568443052,13.87,3.0399999999999996,11.323333333333332,21.14333333333333,19.69666666666667,6.19,0.38461538461538464,0.6,0.23478260869565218,0.36,0.0,0.2777777777777778,1.0,0.2558139534883721,0.43023255813953487,0.3684210526315789,0.6933962264150944,0.3815789473684211,0.3333333333333333,0.7481044650379107,0.07207207207207207,0.18018018018018017,0.1036036036036036,0.3502252252252252,0.17004504504504506,0.34797297297297297,0.5173978819969742,0.6477987421383647,0.937888198757764,0.8249336870026526,0.47761194029850745,0.5443786982248521,0.6808510638297872,0.7692307692307693,-1.2999999999999998
